,Bedroom,Bathroom,Toilet,Price,TypeOfHouse,Totalrooms
65,1.0,1.0,2.0,550000.0,0,4.0
66,1.0,1.0,1.0,330000.0,0,3.0
67,3.0,3.0,4.0,1000000.0,0,10.0
70,3.0,3.0,4.0,1200000.0,0,10.0
71,1.0,1.0,1.0,450000.0,0,3.0
72,3.0,3.0,4.0,1600000.0,0,10.0
73,3.0,3.0,4.0,800000.0,0,10.0
74,2.0,2.0,3.0,900000.0,0,7.0
75,3.0,3.0,4.0,1200000.0,0,10.0
76,3.0,3.0,4.0,1600000.0,1,10.0
77,2.0,2.0,2.0,900000.0,0,6.0
78,4.0,4.0,5.0,1500000.0,1,13.0
79,3.0,3.0,4.0,850000.0,0,10.0
80,2.0,2.0,3.0,750000.0,0,7.0
81,6.0,6.0,7.0,1800000.0,1,19.0
82,2.0,2.0,3.0,1200000.0,0,7.0
83,2.0,2.0,3.0,800000.0,0,7.0
84,2.0,2.0,3.0,700000.0,0,7.0
85,3.0,3.0,4.0,800000.0,0,10.0
86,3.0,3.0,4.0,1000000.0,0,10.0
87,2.0,2.0,3.0,800000.0,0,7.0
88,3.0,3.0,4.0,600000.0,0,10.0
90,3.0,3.0,4.0,800000.0,0,10.0
91,3.0,3.0,4.0,900000.0,0,10.0
93,3.0,3.0,4.0,1200000.0,0,10.0
94,3.0,3.0,4.0,1000000.0,0,10.0
95,3.0,3.0,4.0,1300000.0,0,10.0
96,3.0,3.0,4.0,700000.0,0,10.0
98,2.0,2.0,3.0,850000.0,0,7.0
99,1.0,1.0,1.0,500000.0,0,3.0
100,4.0,4.0,5.0,1800000.0,1,13.0
101,4.0,4.0,5.0,1500000.0,1,13.0
102,3.0,4.0,4.0,750000.0,0,11.0
103,2.0,3.0,3.0,800000.0,0,8.0
104,2.0,2.0,3.0,950000.0,0,7.0
105,3.0,3.0,4.0,1500000.0,1,10.0
106,2.0,3.0,3.0,600000.0,0,8.0
107,2.0,3.0,3.0,650000.0,0,8.0
108,2.0,2.0,3.0,900000.0,0,7.0
109,3.0,3.0,4.0,1300000.0,0,10.0
110,4.0,4.0,5.0,2800000.0,0,13.0
111,4.0,4.0,5.0,2000000.0,1,13.0
112,3.0,3.0,3.0,750000.0,0,9.0
113,1.0,1.0,1.0,250000.0,0,3.0
114,1.0,2.0,2.0,500000.0,0,5.0
115,1.0,1.0,1.0,250000.0,0,3.0
116,3.0,3.0,4.0,1500000.0,1,10.0
117,3.0,3.0,3.0,1100000.0,0,9.0
118,1.0,1.0,2.0,450000.0,0,4.0
119,1.0,1.0,1.0,550000.0,0,3.0
120,3.0,3.0,4.0,900000.0,0,10.0
121,1.0,1.0,1.0,400000.0,0,3.0
122,4.0,4.0,5.0,1600000.0,0,13.0
123,3.0,3.0,4.0,1000000.0,0,10.0
124,4.0,4.0,5.0,2500000.0,1,13.0
125,3.0,3.0,3.0,1200000.0,0,9.0
126,2.0,3.0,3.0,650000.0,0,8.0
127,2.0,3.0,3.0,650000.0,0,8.0
128,2.0,3.0,3.0,650000.0,0,8.0
129,4.0,4.0,5.0,2000000.0,1,13.0
132,2.0,3.0,3.0,650000.0,0,8.0
133,1.0,2.0,2.0,500000.0,0,5.0
134,5.0,5.0,6.0,2500000.0,1,16.0
135,2.0,3.0,3.0,650000.0,0,8.0
136,1.0,1.0,1.0,350000.0,0,3.0
137,3.0,4.0,4.0,750000.0,0,11.0
138,2.0,2.0,2.0,570000.0,0,6.0
139,1.0,1.0,2.0,800000.0,0,4.0
140,1.0,1.0,1.0,300000.0,0,3.0
141,2.0,2.0,3.0,900000.0,0,7.0
142,2.0,3.0,3.0,650000.0,0,8.0
143,2.0,2.0,2.0,550000.0,0,6.0
144,2.0,2.0,3.0,1000000.0,0,7.0
145,1.0,2.0,2.0,600000.0,0,5.0
146,1.0,1.0,2.0,450000.0,0,4.0
147,1.0,2.0,2.0,500000.0,0,5.0
148,1.0,1.0,1.0,270000.0,0,3.0
150,2.0,3.0,3.0,750000.0,0,8.0
151,3.0,3.0,4.0,700000.0,0,10.0
152,2.0,3.0,3.0,650000.0,0,8.0
153,2.0,3.0,3.0,650000.0,0,8.0
155,1.0,2.0,2.0,500000.0,0,5.0
156,3.0,4.0,5.0,1200000.0,1,12.0
157,2.0,2.0,3.0,850000.0,0,7.0
158,4.0,4.0,5.0,1700000.0,1,13.0
159,4.0,4.0,5.0,2700000.0,1,13.0
160,4.0,4.0,5.0,2500000.0,1,13.0
161,4.0,4.0,5.0,2800000.0,1,13.0
162,3.0,3.0,4.0,1500000.0,0,10.0
164,1.0,2.0,2.0,500000.0,0,5.0
165,2.0,3.0,3.0,650000.0,0,8.0
166,1.0,2.0,2.0,400000.0,0,5.0
167,1.0,1.0,1.0,250000.0,0,3.0
168,1.0,2.0,2.0,450000.0,0,5.0
169,1.0,1.0,1.0,300000.0,0,3.0
170,2.0,2.0,3.0,1000000.0,0,7.0
171,3.0,3.0,3.0,1500000.0,0,9.0
172,3.0,3.0,4.0,2000000.0,0,10.0
173,4.0,4.0,5.0,2000000.0,1,13.0
174,3.0,3.0,4.0,1200000.0,0,10.0
175,1.0,1.0,1.0,300000.0,0,3.0
176,2.0,3.0,3.0,600000.0,0,8.0
177,3.0,4.0,4.0,1100000.0,0,11.0
178,3.0,3.0,4.0,2000000.0,0,10.0
179,5.0,5.0,6.0,2800000.0,0,16.0
180,2.0,3.0,3.0,750000.0,0,8.0
181,1.0,2.0,2.0,600000.0,1,5.0
182,3.0,3.0,3.0,900000.0,0,9.0
183,2.0,3.0,3.0,800000.0,0,8.0
184,2.0,3.0,3.0,1000000.0,0,8.0
185,3.0,2.0,3.0,550000.0,0,8.0
186,2.0,2.0,3.0,1300000.0,0,7.0
187,3.0,3.0,4.0,1200000.0,0,10.0
188,2.0,3.0,3.0,750000.0,0,8.0
189,1.0,1.0,1.0,300000.0,0,3.0
190,3.0,3.0,3.0,600000.0,0,9.0
191,3.0,3.0,4.0,1500000.0,0,10.0
192,3.0,3.0,4.0,1500000.0,0,10.0
193,2.0,2.0,3.0,1300000.0,0,7.0
194,3.0,3.0,4.0,850000.0,0,10.0
195,4.0,4.0,5.0,1600000.0,0,13.0
196,4.0,4.0,5.0,2800000.0,1,13.0
197,7.0,7.0,8.0,2800000.0,1,22.0
199,1.0,2.0,2.0,450000.0,0,5.0
200,3.0,4.0,4.0,1500000.0,1,11.0
201,3.0,4.0,4.0,1200000.0,1,11.0
202,7.0,7.0,8.0,2800000.0,1,22.0
203,4.0,4.0,5.0,2000000.0,1,13.0
204,4.0,4.0,5.0,2300000.0,1,13.0
208,3.0,4.0,4.0,650000.0,0,11.0
209,2.0,3.0,3.0,800000.0,0,8.0
210,2.0,3.0,3.0,800000.0,0,8.0
211,2.0,3.0,3.0,700000.0,0,8.0
212,2.0,2.0,3.0,700000.0,0,7.0
213,3.0,3.0,4.0,2000000.0,1,10.0
214,2.0,2.0,3.0,1200000.0,0,7.0
216,2.0,2.0,2.0,800000.0,0,6.0
217,1.0,1.0,1.0,300000.0,0,3.0
218,1.0,1.0,1.0,300000.0,0,3.0
219,1.0,1.0,1.0,250000.0,0,3.0
220,5.0,6.0,6.0,1500000.0,1,17.0
221,1.0,1.0,1.0,270000.0,0,3.0
222,1.0,1.0,1.0,1300000.0,1,3.0
223,1.0,1.0,1.0,400000.0,0,3.0
224,1.0,1.0,1.0,300000.0,0,3.0
225,1.0,1.0,1.0,250000.0,0,3.0
226,2.0,1.0,1.0,550000.0,0,4.0
227,1.0,1.0,2.0,400000.0,0,4.0
228,2.0,2.0,3.0,800000.0,0,7.0
229,4.0,4.0,5.0,1600000.0,0,13.0
230,2.0,2.0,2.0,450000.0,0,6.0
231,5.0,5.0,6.0,2800000.0,1,16.0
232,1.0,1.0,2.0,600000.0,0,4.0
233,5.0,5.0,6.0,2200000.0,0,16.0
234,3.0,3.0,4.0,2800000.0,0,10.0
235,4.0,4.0,5.0,2000000.0,1,13.0
236,4.0,4.0,5.0,1800000.0,1,13.0
237,2.0,2.0,3.0,1000000.0,0,7.0
238,4.0,4.0,5.0,2000000.0,0,13.0
239,2.0,2.0,3.0,1200000.0,0,7.0
240,5.0,5.0,6.0,2000000.0,0,16.0
241,5.0,4.0,5.0,2800000.0,1,14.0
249,3.0,3.0,4.0,1200000.0,0,10.0
250,3.0,3.0,3.0,1200000.0,0,9.0
251,2.0,2.0,3.0,1000000.0,0,7.0
252,2.0,5.0,3.0,1000000.0,0,10.0
256,2.0,2.0,3.0,800000.0,0,7.0
257,2.0,2.0,3.0,800000.0,0,7.0
258,2.0,2.0,2.0,1000000.0,0,6.0
259,3.0,5.0,4.0,950000.0,0,12.0
261,4.0,4.0,5.0,2800000.0,1,13.0
262,4.0,4.0,5.0,2500000.0,1,13.0
263,3.0,4.0,4.0,1200000.0,0,11.0
264,3.0,4.0,5.0,700000.0,0,12.0
265,1.0,1.0,1.0,2800000.0,0,3.0
266,4.0,4.0,5.0,1500000.0,1,13.0
267,1.0,1.0,1.0,300000.0,0,3.0
268,2.0,3.0,3.0,800000.0,0,8.0
269,2.0,3.0,3.0,800000.0,0,8.0
270,6.0,6.0,6.0,2800000.0,1,18.0
271,3.0,3.0,3.0,1000000.0,0,9.0
272,5.0,5.0,5.0,2800000.0,1,15.0
274,2.0,2.0,3.0,950000.0,0,7.0
278,3.0,3.0,4.0,1200000.0,0,10.0
281,1.0,1.0,1.0,350000.0,0,3.0
284,1.0,1.0,1.0,850000.0,0,3.0
285,1.0,1.0,1.0,750000.0,0,3.0
286,1.0,1.0,1.0,450000.0,0,3.0
287,1.0,1.0,1.0,250000.0,0,3.0
288,1.0,1.0,1.0,650000.0,0,3.0
289,3.0,4.0,4.0,1300000.0,0,11.0
291,3.0,3.0,4.0,1000000.0,0,10.0
292,1.0,2.0,2.0,850000.0,0,5.0
293,3.0,3.0,4.0,1000000.0,0,10.0
294,3.0,3.0,4.0,800000.0,0,10.0
296,1.0,1.0,2.0,600000.0,0,4.0
297,1.0,1.0,1.0,350000.0,0,3.0
298,2.0,2.0,2.0,900000.0,0,6.0
299,2.0,2.0,2.0,700000.0,0,6.0
300,1.0,1.0,2.0,350000.0,0,4.0
301,1.0,1.0,2.0,500000.0,0,4.0
302,1.0,1.0,2.0,500000.0,0,4.0
304,2.0,3.0,3.0,700000.0,0,8.0
305,2.0,2.0,2.0,700000.0,0,6.0
306,2.0,2.0,2.0,650000.0,0,6.0
307,1.0,1.0,1.0,250000.0,0,3.0
308,1.0,1.0,2.0,450000.0,0,4.0
309,3.0,3.0,3.0,700000.0,1,9.0
310,1.0,1.0,1.0,300000.0,0,3.0
311,2.0,2.0,2.0,1500000.0,0,6.0
312,3.0,3.0,3.0,600000.0,0,9.0
313,1.0,1.0,1.0,1300000.0,0,3.0
314,2.0,1.0,1.0,1200000.0,0,4.0
316,3.0,3.0,4.0,2000000.0,1,10.0
317,1.0,1.0,2.0,800000.0,0,4.0
318,3.0,3.0,4.0,1000000.0,0,10.0
319,1.0,1.0,1.0,250000.0,0,3.0
320,4.0,4.0,5.0,2000000.0,1,13.0
321,1.0,1.0,2.0,400000.0,0,4.0
322,2.0,2.0,3.0,800000.0,0,7.0
323,3.0,3.0,4.0,1000000.0,0,10.0
324,1.0,1.0,1.0,450000.0,0,3.0
326,2.0,2.0,3.0,700000.0,0,7.0
327,3.0,3.0,3.0,700000.0,0,9.0
328,1.0,1.0,1.0,2800000.0,0,3.0
329,3.0,3.0,3.0,700000.0,0,9.0
330,3.0,3.0,3.0,700000.0,0,9.0
331,1.0,1.0,1.0,450000.0,0,3.0
332,4.0,5.0,5.0,2000000.0,1,14.0
333,1.0,1.0,1.0,300000.0,0,3.0
334,1.0,1.0,1.0,250000.0,0,3.0
336,1.0,3.0,2.0,600000.0,0,6.0
337,1.0,1.0,1.0,2800000.0,0,3.0
338,1.0,2.0,2.0,450000.0,0,5.0
339,2.0,2.0,2.0,250000.0,0,6.0
340,1.0,1.0,2.0,650000.0,0,4.0
342,2.0,2.0,3.0,800000.0,0,7.0
343,1.0,1.0,1.0,800000.0,0,3.0
344,4.0,4.0,5.0,2800000.0,1,13.0
345,4.0,5.0,5.0,2800000.0,1,14.0
346,1.0,1.0,1.0,850000.0,0,3.0
348,4.0,4.0,5.0,1800000.0,1,13.0
349,4.0,4.0,5.0,2200000.0,0,13.0
351,4.0,5.0,5.0,2500000.0,1,14.0
354,1.0,1.0,1.0,600000.0,0,3.0
356,1.0,1.0,1.0,350000.0,0,3.0
357,2.0,2.0,3.0,800000.0,0,7.0
358,3.0,3.0,4.0,1700000.0,0,10.0
359,1.0,1.0,1.0,500000.0,0,3.0
360,3.0,1.0,1.0,1200000.0,0,5.0
361,2.0,2.0,2.0,1000000.0,0,6.0
362,3.0,3.0,3.0,1200000.0,0,9.0
363,3.0,1.0,1.0,300000.0,0,5.0
364,2.0,2.0,3.0,600000.0,0,7.0
365,4.0,5.0,5.0,1500000.0,1,14.0
366,3.0,3.0,4.0,1100000.0,0,10.0
367,2.0,2.0,2.0,1000000.0,0,6.0
368,1.0,1.0,1.0,350000.0,0,3.0
369,2.0,1.0,1.0,1000000.0,0,4.0
370,4.0,1.0,1.0,2800000.0,0,6.0
371,3.0,3.0,4.0,1200000.0,0,10.0
372,3.0,3.0,4.0,650000.0,0,10.0
373,4.0,4.0,4.0,1500000.0,1,12.0
374,2.0,1.0,1.0,1100000.0,0,4.0
376,3.0,4.0,4.0,700000.0,0,11.0
377,4.0,4.0,5.0,1500000.0,1,13.0
378,2.0,2.0,3.0,800000.0,0,7.0
379,4.0,4.0,5.0,2500000.0,1,13.0
382,4.0,4.0,5.0,2300000.0,1,13.0
384,4.0,1.0,1.0,2000000.0,0,6.0
385,3.0,3.0,4.0,1300000.0,0,10.0
386,4.0,5.0,6.0,1500000.0,0,15.0
387,2.0,3.0,3.0,1000000.0,0,8.0
388,3.0,2.0,3.0,800000.0,0,8.0
389,1.0,1.0,1.0,250000.0,0,3.0
390,1.0,1.0,1.0,300000.0,0,3.0
391,1.0,1.0,1.0,250000.0,0,3.0
392,3.0,3.0,4.0,1100000.0,0,10.0
393,2.0,2.0,3.0,1000000.0,0,7.0
394,2.0,2.0,3.0,1000000.0,0,7.0
395,1.0,1.0,1.0,250000.0,0,3.0
396,1.0,2.0,2.0,450000.0,0,5.0
397,2.0,2.0,3.0,600000.0,1,7.0
398,3.0,3.0,3.0,1000000.0,0,9.0
399,3.0,2.0,2.0,700000.0,0,7.0
400,2.0,3.0,3.0,600000.0,0,8.0
401,4.0,1.0,1.0,2000000.0,0,6.0
402,2.0,1.0,1.0,900000.0,0,4.0
403,2.0,2.0,2.0,600000.0,0,6.0
404,2.0,2.0,3.0,500000.0,0,7.0
405,1.0,1.0,1.0,250000.0,0,3.0
406,4.0,5.0,5.0,2000000.0,1,14.0
407,1.0,1.0,1.0,500000.0,0,3.0
408,4.0,1.0,1.0,2800000.0,1,6.0
409,3.0,1.0,1.0,1300000.0,0,5.0
410,1.0,1.0,1.0,400000.0,0,3.0
411,4.0,1.0,1.0,2500000.0,1,6.0
412,1.0,1.0,1.0,500000.0,0,3.0
413,2.0,2.0,3.0,1100000.0,0,7.0
414,3.0,3.0,4.0,1200000.0,0,10.0
415,2.0,2.0,3.0,600000.0,0,7.0
416,1.0,1.0,1.0,250000.0,0,3.0
417,1.0,1.0,1.0,950000.0,0,3.0
418,3.0,4.0,4.0,750000.0,0,11.0
419,3.0,3.0,4.0,1600000.0,0,10.0
420,1.0,1.0,1.0,400000.0,0,3.0
421,2.0,2.0,2.0,1000000.0,0,6.0
424,2.0,2.0,3.0,600000.0,0,7.0
425,2.0,2.0,3.0,500000.0,0,7.0
426,1.0,1.0,1.0,1000000.0,0,3.0
427,2.0,2.0,2.0,1000000.0,0,6.0
430,2.0,2.0,2.0,800000.0,0,6.0
431,1.0,1.0,1.0,350000.0,0,3.0
432,2.0,1.0,1.0,250000.0,0,4.0
433,1.0,1.0,1.0,250000.0,0,3.0
434,2.0,1.0,1.0,1000000.0,0,4.0
435,5.0,6.0,6.0,2000000.0,0,17.0
436,1.0,1.0,2.0,550000.0,0,4.0
437,1.0,1.0,1.0,800000.0,0,3.0
438,1.0,1.0,1.0,350000.0,0,3.0
439,1.0,1.0,1.0,400000.0,0,3.0
440,3.0,4.0,4.0,1500000.0,0,11.0
441,3.0,3.0,4.0,1200000.0,0,10.0
442,2.0,3.0,3.0,550000.0,0,8.0
443,1.0,1.0,1.0,250000.0,0,3.0
444,3.0,3.0,3.0,1000000.0,0,9.0
445,1.0,1.0,1.0,250000.0,0,3.0
446,3.0,3.0,3.0,800000.0,0,9.0
447,2.0,1.0,1.0,1300000.0,0,4.0
448,5.0,1.0,1.0,2800000.0,1,7.0
449,1.0,1.0,1.0,900000.0,0,3.0
450,3.0,3.0,4.0,1000000.0,0,10.0
451,2.0,2.0,1.0,800000.0,0,5.0
452,2.0,2.0,3.0,750000.0,0,7.0
453,3.0,1.0,1.0,2200000.0,0,5.0
454,4.0,4.0,5.0,2200000.0,1,13.0
455,3.0,3.0,4.0,1200000.0,1,10.0
456,1.0,1.0,1.0,850000.0,0,3.0
457,3.0,3.0,3.0,1400000.0,0,9.0
458,3.0,4.0,4.0,800000.0,0,11.0
460,5.0,5.0,6.0,1200000.0,1,16.0
462,3.0,1.0,1.0,1000000.0,0,5.0
463,6.0,6.0,6.0,2800000.0,1,18.0
464,5.0,1.0,1.0,2800000.0,1,7.0
465,3.0,3.0,3.0,850000.0,0,9.0
466,5.0,4.0,4.0,2500000.0,1,13.0
467,4.0,4.0,5.0,2200000.0,1,13.0
468,3.0,3.0,4.0,1300000.0,0,10.0
469,2.0,1.0,1.0,900000.0,0,4.0
470,4.0,5.0,5.0,2000000.0,0,14.0
472,2.0,3.0,3.0,800000.0,0,8.0
473,2.0,1.0,1.0,800000.0,0,4.0
474,3.0,3.0,4.0,1000000.0,0,10.0
475,5.0,1.0,1.0,2800000.0,1,7.0
477,1.0,1.0,1.0,250000.0,0,3.0
478,3.0,1.0,1.0,900000.0,0,5.0
479,2.0,2.0,3.0,1000000.0,0,7.0
480,2.0,1.0,1.0,450000.0,0,4.0
481,2.0,2.0,2.0,1000000.0,0,6.0
482,2.0,2.0,2.0,750000.0,0,6.0
483,3.0,3.0,4.0,750000.0,0,10.0
484,3.0,3.0,3.0,600000.0,0,9.0
485,1.0,1.0,2.0,700000.0,0,4.0
486,1.0,1.0,1.0,500000.0,0,3.0
488,4.0,4.0,4.0,2800000.0,1,12.0
489,1.0,1.0,1.0,700000.0,0,3.0
491,2.0,3.0,3.0,600000.0,0,8.0
492,1.0,1.0,1.0,400000.0,0,3.0
493,3.0,3.0,4.0,850000.0,0,10.0
495,2.0,1.0,1.0,1300000.0,0,4.0
496,4.0,4.0,5.0,2800000.0,0,13.0
497,3.0,1.0,1.0,1200000.0,0,5.0
498,3.0,1.0,1.0,1200000.0,0,5.0
499,2.0,2.0,3.0,800000.0,0,7.0
500,3.0,4.0,4.0,1000000.0,0,11.0
501,2.0,1.0,1.0,600000.0,0,4.0
502,3.0,3.0,4.0,1250000.0,1,10.0
503,1.0,1.0,2.0,600000.0,0,4.0
504,3.0,3.0,3.0,1500000.0,0,9.0
505,5.0,1.0,1.0,2800000.0,0,7.0
506,2.0,2.0,3.0,800000.0,0,7.0
507,3.0,3.0,4.0,1200000.0,1,10.0
508,4.0,1.0,1.0,1800000.0,1,6.0
509,3.0,3.0,4.0,1100000.0,0,10.0
510,2.0,2.0,3.0,1100000.0,0,7.0
511,3.0,1.0,1.0,2200000.0,0,5.0
512,4.0,4.0,5.0,1000000.0,1,13.0
513,4.0,4.0,5.0,1600000.0,1,13.0
514,2.0,2.0,3.0,850000.0,0,7.0
515,5.0,1.0,1.0,2800000.0,1,7.0
516,1.0,1.0,1.0,450000.0,0,3.0
517,4.0,1.0,1.0,2300000.0,1,6.0
518,3.0,4.0,4.0,900000.0,0,11.0
519,3.0,4.0,4.0,2800000.0,0,11.0
520,3.0,4.0,4.0,1500000.0,0,11.0
521,1.0,1.0,1.0,500000.0,0,3.0
522,1.0,1.0,1.0,250000.0,0,3.0
523,1.0,1.0,1.0,250000.0,0,3.0
524,3.0,3.0,3.0,1600000.0,0,9.0
525,3.0,1.0,1.0,1000000.0,0,5.0
526,2.0,2.0,3.0,1500000.0,0,7.0
527,2.0,2.0,3.0,800000.0,0,7.0
529,1.0,1.0,1.0,250000.0,0,3.0
530,3.0,3.0,4.0,1000000.0,0,10.0
531,3.0,1.0,1.0,1200000.0,0,5.0
532,4.0,4.0,5.0,2700000.0,1,13.0
533,2.0,3.0,3.0,700000.0,1,8.0
534,1.0,1.0,2.0,600000.0,0,4.0
535,1.0,1.0,1.0,1000000.0,0,3.0
536,3.0,3.0,4.0,1000000.0,0,10.0
537,3.0,3.0,4.0,1000000.0,0,10.0
538,4.0,5.0,5.0,2500000.0,1,14.0
539,2.0,2.0,3.0,1000000.0,0,7.0
540,6.0,1.0,1.0,2500000.0,0,8.0
541,5.0,5.0,6.0,2800000.0,1,16.0
542,1.0,1.0,1.0,400000.0,0,3.0
543,4.0,5.0,5.0,2500000.0,1,14.0
545,4.0,1.0,1.0,2500000.0,1,6.0
546,4.0,3.0,4.0,1500000.0,1,11.0
547,3.0,3.0,3.0,1700000.0,0,9.0
548,2.0,2.0,3.0,950000.0,0,7.0
549,1.0,1.0,1.0,300000.0,0,3.0
551,4.0,4.0,4.0,2300000.0,1,12.0
552,2.0,3.0,3.0,650000.0,0,8.0
553,2.0,1.0,1.0,850000.0,0,4.0
554,4.0,4.0,5.0,1100000.0,0,13.0
555,3.0,2.0,3.0,900000.0,0,8.0
557,2.0,3.0,3.0,1000000.0,0,8.0
558,2.0,2.0,3.0,900000.0,0,7.0
559,4.0,4.0,5.0,2300000.0,1,13.0
560,2.0,2.0,3.0,550000.0,0,7.0
561,3.0,3.0,4.0,1300000.0,0,10.0
562,3.0,3.0,3.0,2500000.0,0,9.0
563,1.0,1.0,1.0,1200000.0,0,3.0
564,3.0,3.0,3.0,850000.0,0,9.0
565,2.0,2.0,3.0,550000.0,0,7.0
566,3.0,3.0,4.0,1300000.0,0,10.0
567,4.0,5.0,5.0,2800000.0,1,14.0
568,4.0,6.0,5.0,2200000.0,1,15.0
569,3.0,3.0,4.0,1300000.0,0,10.0
570,2.0,2.0,2.0,1200000.0,0,6.0
571,1.0,1.0,1.0,250000.0,0,3.0
572,1.0,1.0,1.0,2800000.0,0,3.0
573,1.0,1.0,1.0,250000.0,0,3.0
574,3.0,1.0,1.0,2200000.0,0,5.0
575,2.0,3.0,3.0,600000.0,0,8.0
576,1.0,2.0,2.0,450000.0,0,5.0
577,1.0,2.0,2.0,450000.0,0,5.0
578,3.0,1.0,1.0,1000000.0,0,5.0
579,1.0,1.0,1.0,1500000.0,1,3.0
580,3.0,3.0,3.0,1600000.0,0,9.0
583,2.0,2.0,3.0,1000000.0,0,7.0
584,1.0,1.0,1.0,600000.0,0,3.0
585,3.0,3.0,4.0,1500000.0,0,10.0
586,3.0,3.0,4.0,800000.0,1,10.0
587,2.0,2.0,3.0,650000.0,0,7.0
588,3.0,3.0,4.0,1000000.0,0,10.0
589,1.0,2.0,2.0,800000.0,0,5.0
590,3.0,3.0,4.0,1000000.0,0,10.0
591,2.0,2.0,3.0,1400000.0,0,7.0
592,2.0,2.0,3.0,250000.0,0,7.0
593,1.0,2.0,2.0,300000.0,0,5.0
594,2.0,3.0,3.0,450000.0,0,8.0
595,1.0,1.0,1.0,250000.0,0,3.0
596,2.0,2.0,2.0,850000.0,0,6.0
598,2.0,2.0,2.0,800000.0,0,6.0
599,3.0,3.0,3.0,700000.0,0,9.0
600,2.0,2.0,2.0,400000.0,0,6.0
601,1.0,1.0,1.0,300000.0,0,3.0
602,1.0,1.0,1.0,450000.0,0,3.0
603,1.0,1.0,1.0,500000.0,0,3.0
604,1.0,1.0,1.0,270000.0,0,3.0
605,2.0,2.0,3.0,1000000.0,0,7.0
606,2.0,2.0,3.0,800000.0,0,7.0
607,2.0,2.0,3.0,550000.0,0,7.0
608,3.0,3.0,4.0,1000000.0,0,10.0
609,4.0,5.0,5.0,2500000.0,1,14.0
610,1.0,1.0,2.0,270000.0,0,4.0
611,3.0,3.0,4.0,950000.0,0,10.0
612,3.0,4.0,4.0,280000.0,0,11.0
613,2.0,2.0,3.0,870000.0,0,7.0
614,4.0,5.0,5.0,500000.0,0,14.0
615,2.0,2.0,3.0,800000.0,0,7.0
616,1.0,1.0,1.0,250000.0,0,3.0
617,4.0,5.0,5.0,500000.0,0,14.0
618,1.0,1.0,1.0,250000.0,0,3.0
619,2.0,2.0,2.0,800000.0,0,6.0
620,1.0,1.0,1.0,300000.0,0,3.0
621,1.0,1.0,1.0,450000.0,0,3.0
